IT Tower,Service Family,Service Type,Service Sub Type,Service Usage Type,Product Code,Usage Type,[lineItem/Operation],lineItem/LineItemDescription
Network,Cloud Storage,Object Storage,Data Transfer,S3 Data Transfer,AmazonS3,%DataTransfer%,,
Storage,Cloud Storage,Object Storage,S3 API-Operations,AWS-Bytes,AmazonS3,%AWS-%ytes,,
Network,Cloud Storage,Object Storage,Data Transfer,S3 Data Transfer,AmazonS3,%DataXfer%,,
Storage,Cloud Storage,Object Storage,Archive Retrieval,S3 Retrieval Bytes,AmazonS3,%Retrieval-Bytes%,,
Storage,Cloud Storage,Object Storage,Real-Type Communication ,S3 RTC-Bytes,AmazonS3,%S3RTC%-Bytes%,,
Storage,Cloud Storage,Object Storage,Archive Retrieval,S3 Retrieval ZIA-Bytes,AmazonS3,%Retrieval-ZIA,,
Network,Content Delivery,Object Storage,CDN Data Transfer,S3 to CloudFront Bytes,AmazonS3,%CloudFront%Bytes,,
Database,Managed Database,Ledger Database,Journal Storage,QLDB Storage,AmazonQLDB,%Storage,,
Database,Managed Database,Ledger Database,I/O Operations,QLDB IO Requests,AmazonQLDB,%IO-Request,,
Database,Data Warehouse,Cloud Data Warehouse ,Compute/Cluster Hours,Tax,AmazonRedshift,,,Tax%
Database,Data Warehouse,Cloud Data Warehouse ,Heavy Compute Nodes,Redshift Heavy Usage,AmazonRedshift,%HeavyUsage%,,
Database,Data Warehouse,Cloud Data Warehouse ,RA3 Compute Nodes,Redshift RA3 Node Hours,AmazonRedshift,%Node:ra%,,
Database,Data Warehouse,Cloud Data Warehouse ,Query Data Scanning,Redshift DataScanned,AmazonRedshift,%DataScanned%,,
Database,Data Warehouse,Cloud Data Warehouse ,DC Compute Nodes,Redshift DC Node Hours,AmazonRedshift,%Node:dc%,,
Database,Data Warehouse,Cloud Data Warehouse ,DS Compute Nodes,Redshift DS Node Hours,AmazonRedshift,%Node:ds%,,
Network,Networking,Virtual Private Cloud,VPC Core Resources,Tax,AmazonVPC,,,Tax%
Network,Networking,Virtual Private Cloud,Data Transfer,VPC DataTransfer Bytes,AmazonVPC,%DataTransfer%Bytes,,
Network,Networking,Virtual Private Cloud,Inter-Service Data Transfer,VPC AWS Bytes,AmazonVPC,%AWS%Bytes,,
Network,Networking,Virtual Private Cloud,CDN Data Transfer,VPC to CloudFront Bytes,AmazonVPC,%CloudFront%Bytes%,,
Network,Networking,Virtual Private Cloud,Site-to-Site VPN,VPN Connection Hours (IPSec),AmazonVPC,%VPN-Usage-Hours:ipsec.1,,
Network,Networking,Virtual Private Cloud,Transit Gateway,Transit Gateway Hours,AmazonVPC,%TransitGateway-Hours,,
Network,Networking,Virtual Private Cloud,Transit Gateway Data Processing,Transit Gateway Bytes,AmazonVPC,%TransitGateway-Bytes,,
Network,Networking,Virtual Private Cloud,VPC Endpoint Data Processing,VpcEndpoint Bytes,AmazonVPC,%VpcEndpoint-Bytes,,
Network,Networking,Virtual Private Cloud,VPC Endpoint Provisioning,VpcEndpoint Hours,AmazonVPC,%VpcEndpoint-Hours,,
Network,Networking,Virtual Private Cloud,Endpoint Service Hours,VpcEndpointHours,AmazonVPC,%EndpointHours,,
Network,Networking,Virtual Private Cloud,Traffic Mirroring,ENI Mirror Usage,AmazonVPC,%ENI-Mirror,,
Network,Networking,Virtual Private Cloud,VPN/NLB Connections,Connection Hours,AmazonVPC,%ConnectionHours,,
Application,Messaging,Email Service,SMTP Connections,Tax,AmazonSES,,,Tax%
Application,Messaging,Email Service,Recipient Charges,SES Recipients,AmazonSES,%Recipients%,,
Application,Messaging,Email Service,Attachment Data Transfer,SES AttachmentsSize Bytes,AmazonSES,%AttachmentsSize-Bytes,,
Application,Messaging,Email Service,Inbound Mail Processing,SES Received Chunk,AmazonSES,%ReceivedChunk%,,
Application,Messaging,Email Service,Message Charges,SES Messages,AmazonSES,%Message%,,
Network,Messaging,Email Service,Outbound Data Transfer,SES DataTransfer-Out-Bytes,AmazonSES,%DataTransfer-Out-Bytes,,
Network,Messaging,Email Service,Inbound Data Transfer,SES DataTransfer-Out-Bytes,AmazonSES,%DataTransfer-In-Bytes,,
Application,Messaging,Notification Service,Topic Publishing,Tax,AmazonSNS,,,Tax%
Application,Messaging,Notification Service,API Requests Tier1,SNS Tier1 Requests,AmazonSNS,%Requests-Tier1,,
Application,Messaging,Notification Service,API Requests Tier2,SNS Tier2 Requests,AmazonSNS,%Requests-Tier2,,
Network,Messaging,Notification Service,Outbound Data Transfer,SNS DataTransfer-Out-Bytes,AmazonSNS,%DataTransfer-Out-Bytes,,
Network,Messaging,Notification Service,Inbound Data Transfer,SNS DataTransfer-In-Bytes,AmazonSNS,%DataTransfer-In-Bytes,,
Application,Messaging,Notification Service,Push Delivery Retries,SNS GCM Delivery Attempts,AmazonSNS,%DeliveryAttempts-GCM,,
Application,Messaging,Notification Service,Email Delivery Retries,SNS SMTP Delivery Attempts,AmazonSNS,%DeliveryAttempts-SMTP,,
Application,Messaging,Notification Service,HTTP Delivery Retries,SNS HTTP Delivery Attempts,AmazonSNS,%DeliveryAttempts-HTTP,,
Application,Messaging,Notification Service,SQS Delivery Retries,SNS SQS Delivery Attempts,AmazonSNS,%DeliveryAttempts-SQS,,
Application,Messaging,Notification Service,SMS Messaging,SNS SMS Price,AmazonSNS,%SMS-Price%,,
Application,Messaging,Notification Service,SMS Sending,SNS SMS Sent,AmazonSNS,%SMS-Sent%,,
Application,Messaging,Notification Service,APNS Delivery Retries,SNS APNS Delivery Attempts,AmazonSNS,%DeliveryAttempts-APNS%,,
Application,Messaging,Notification Service,Lambda Delivery Retries,SNS Lambda Delivery Attempts,AmazonSNS,%DeliveryAttempts-LAMBDA,,
